,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escapeRange,Wolves,Sheep
0,0,0,0,20,20,50,50,0.04,0.05,20,True,30,4,1,50,50
1,0,0,10,20,20,50,50,0.04,0.05,20,True,30,4,1,50,15
2,0,0,20,20,20,50,50,0.04,0.05,20,True,30,4,1,55,4
3,0,0,30,20,20,50,50,0.04,0.05,20,True,30,4,1,32,2
4,0,0,40,20,20,50,50,0.04,0.05,20,True,30,4,1,19,2
5,0,0,50,20,20,50,50,0.04,0.05,20,True,30,4,1,7,3
6,0,0,60,20,20,50,50,0.04,0.05,20,True,30,4,1,1,2
7,0,0,70,20,20,50,50,0.04,0.05,20,True,30,4,1,2,2
8,0,0,80,20,20,50,50,0.04,0.05,20,True,30,4,1,0,2
9,0,0,90,20,20,50,50,0.04,0.05,20,True,30,4,1,0,3
10,0,0,100,20,20,50,50,0.04,0.05,20,True,30,4,1,0,3
11,1,0,0,20,20,50,100,0.04,0.05,20,True,30,4,1,100,50
12,1,0,10,20,20,50,100,0.04,0.05,20,True,30,4,1,121,4
13,1,0,20,20,20,50,100,0.04,0.05,20,True,30,4,1,96,1
14,1,0,30,20,20,50,100,0.04,0.05,20,True,30,4,1,38,0
15,1,0,40,20,20,50,100,0.04,0.05,20,True,30,4,1,21,0
16,1,0,50,20,20,50,100,0.04,0.05,20,True,30,4,1,4,0
17,1,0,60,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0
18,1,0,70,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0
19,1,0,80,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0
20,1,0,90,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0
21,1,0,100,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0
22,2,0,0,20,20,100,100,0.04,0.05,20,True,30,4,1,100,100
23,2,0,10,20,20,100,100,0.04,0.05,20,True,30,4,1,134,9
24,2,0,20,20,20,100,100,0.04,0.05,20,True,30,4,1,114,0
25,2,0,30,20,20,100,100,0.04,0.05,20,True,30,4,1,70,0
26,2,0,40,20,20,100,100,0.04,0.05,20,True,30,4,1,35,0
27,2,0,50,20,20,100,100,0.04,0.05,20,True,30,4,1,12,0
28,2,0,60,20,20,100,100,0.04,0.05,20,True,30,4,1,3,0
29,2,0,70,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0
30,2,0,80,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0
31,2,0,90,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0
32,2,0,100,20,20,100,100,0.04,0.05,20,True,30,4,1,0,0
33,3,0,0,20,20,150,100,0.04,0.05,20,True,30,4,1,100,150
34,3,0,10,20,20,150,100,0.04,0.05,20,True,30,4,1,120,14
35,3,0,20,20,20,150,100,0.04,0.05,20,True,30,4,1,134,0
36,3,0,30,20,20,150,100,0.04,0.05,20,True,30,4,1,108,0
37,3,0,40,20,20,150,100,0.04,0.05,20,True,30,4,1,29,0
38,3,0,50,20,20,150,100,0.04,0.05,20,True,30,4,1,12,0
39,3,0,60,20,20,150,100,0.04,0.05,20,True,30,4,1,4,0
40,3,0,70,20,20,150,100,0.04,0.05,20,True,30,4,1,3,0
41,3,0,80,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0
42,3,0,90,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0
43,3,0,100,20,20,150,100,0.04,0.05,20,True,30,4,1,0,0
44,4,0,0,20,20,100,50,0.04,0.05,20,True,30,4,1,50,100
45,4,0,10,20,20,100,50,0.04,0.05,20,True,30,4,1,64,32
46,4,0,20,20,20,100,50,0.04,0.05,20,True,30,4,1,75,6
47,4,0,30,20,20,100,50,0.04,0.05,20,True,30,4,1,59,3
48,4,0,40,20,20,100,50,0.04,0.05,20,True,30,4,1,40,1
49,4,0,50,20,20,100,50,0.04,0.05,20,True,30,4,1,11,1
50,4,0,60,20,20,100,50,0.04,0.05,20,True,30,4,1,1,2
51,4,0,70,20,20,100,50,0.04,0.05,20,True,30,4,1,0,3
52,4,0,80,20,20,100,50,0.04,0.05,20,True,30,4,1,0,5
53,4,0,90,20,20,100,50,0.04,0.05,20,True,30,4,1,0,8
54,4,0,100,20,20,100,50,0.04,0.05,20,True,30,4,1,0,7
55,5,0,0,20,20,100,150,0.04,0.05,20,True,30,4,1,150,100
56,5,0,10,20,20,100,150,0.04,0.05,20,True,30,4,1,179,5
