,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,150,50,0,50,150
1,0,0,10,20,20,0.04,0.05,20,True,30,4,150,50,0,48,42
2,0,0,20,20,20,0.04,0.05,20,True,30,4,150,50,0,21,6
3,0,0,30,20,20,0.04,0.05,20,True,30,4,150,50,0,2,1
4,0,0,40,20,20,0.04,0.05,20,True,30,4,150,50,0,0,1
5,0,0,50,20,20,0.04,0.05,20,True,30,4,150,50,0,0,2
6,0,0,60,20,20,0.04,0.05,20,True,30,4,150,50,0,0,4
7,0,0,70,20,20,0.04,0.05,20,True,30,4,150,50,0,0,6
8,0,0,80,20,20,0.04,0.05,20,True,30,4,150,50,0,0,10
9,0,0,90,20,20,0.04,0.05,20,True,30,4,150,50,0,0,10
10,0,0,100,20,20,0.04,0.05,20,True,30,4,150,50,0,0,13
11,1,0,0,20,20,0.04,0.05,20,True,30,4,100,50,0,50,100
12,1,0,10,20,20,0.04,0.05,20,True,30,4,100,50,0,52,54
13,1,0,20,20,20,0.04,0.05,20,True,30,4,100,50,0,24,20
14,1,0,30,20,20,0.04,0.05,20,True,30,4,100,50,0,2,4
15,1,0,40,20,20,0.04,0.05,20,True,30,4,100,50,0,0,6
16,1,0,50,20,20,0.04,0.05,20,True,30,4,100,50,0,0,7
17,1,0,60,20,20,0.04,0.05,20,True,30,4,100,50,0,0,7
18,1,0,70,20,20,0.04,0.05,20,True,30,4,100,50,0,0,9
19,1,0,80,20,20,0.04,0.05,20,True,30,4,100,50,0,0,10
20,1,0,90,20,20,0.04,0.05,20,True,30,4,100,50,0,0,12
21,1,0,100,20,20,0.04,0.05,20,True,30,4,100,50,0,0,13
22,2,0,0,20,20,0.04,0.05,20,True,30,4,50,50,0,50,50
23,2,0,10,20,20,0.04,0.05,20,True,30,4,50,50,0,51,35
24,2,0,20,20,20,0.04,0.05,20,True,30,4,50,50,0,19,20
25,2,0,30,20,20,0.04,0.05,20,True,30,4,50,50,0,4,15
26,2,0,40,20,20,0.04,0.05,20,True,30,4,50,50,0,0,9
27,2,0,50,20,20,0.04,0.05,20,True,30,4,50,50,0,0,14
28,2,0,60,20,20,0.04,0.05,20,True,30,4,50,50,0,0,17
29,2,0,70,20,20,0.04,0.05,20,True,30,4,50,50,0,0,25
30,2,0,80,20,20,0.04,0.05,20,True,30,4,50,50,0,0,32
31,2,0,90,20,20,0.04,0.05,20,True,30,4,50,50,0,0,26
32,2,0,100,20,20,0.04,0.05,20,True,30,4,50,50,0,0,29
33,3,0,0,20,20,0.04,0.05,20,True,30,4,100,100,0,100,100
34,3,0,10,20,20,0.04,0.05,20,True,30,4,100,100,0,105,29
35,3,0,20,20,20,0.04,0.05,20,True,30,4,100,100,0,40,5
36,3,0,30,20,20,0.04,0.05,20,True,30,4,100,100,0,10,1
37,3,0,40,20,20,0.04,0.05,20,True,30,4,100,100,0,0,1
38,3,0,50,20,20,0.04,0.05,20,True,30,4,100,100,0,0,1
39,3,0,60,20,20,0.04,0.05,20,True,30,4,100,100,0,0,1
40,3,0,70,20,20,0.04,0.05,20,True,30,4,100,100,0,0,5
41,3,0,80,20,20,0.04,0.05,20,True,30,4,100,100,0,0,8
42,3,0,90,20,20,0.04,0.05,20,True,30,4,100,100,0,0,10
43,3,0,100,20,20,0.04,0.05,20,True,30,4,100,100,0,0,8
44,4,0,0,20,20,0.04,0.05,20,True,30,4,150,100,0,100,150
45,4,0,10,20,20,0.04,0.05,20,True,30,4,150,100,0,98,25
46,4,0,20,20,20,0.04,0.05,20,True,30,4,150,100,0,52,7
47,4,0,30,20,20,0.04,0.05,20,True,30,4,150,100,0,14,2
48,4,0,40,20,20,0.04,0.05,20,True,30,4,150,100,0,0,2
49,4,0,50,20,20,0.04,0.05,20,True,30,4,150,100,0,0,3
50,4,0,60,20,20,0.04,0.05,20,True,30,4,150,100,0,0,6
51,4,0,70,20,20,0.04,0.05,20,True,30,4,150,100,0,0,5
52,4,0,80,20,20,0.04,0.05,20,True,30,4,150,100,0,0,6
53,4,0,90,20,20,0.04,0.05,20,True,30,4,150,100,0,0,10
54,4,0,100,20,20,0.04,0.05,20,True,30,4,150,100,0,0,18
55,5,0,0,20,20,0.04,0.05,20,True,30,4,50,100,0,100,50
56,5,0,10,20,20,0.04,0.05,20,True,30,4,50,100,0,98,24
57,5,0,20,20,20,0.04,0.05,20,True,30,4,50,100,0,47,15
58,5,0,30,20,20,0.04,0.05,20,True,30,4,50,100,0,10,7
59,5,0,40,20,20,0.04,0.05,20,True,30,4,50,100,0,0,8
60,5,0,50,20,20,0.04,0.05,20,True,30,4,50,100,0,0,14
61,5,0,60,20,20,0.04,0.05,20,True,30,4,50,100,0,0,18
62,5,0,70,20,20,0.04,0.05,20,True,30,4,50,100,0,0,22
63,5,0,80,20,20,0.04,0.05,20,True,30,4,50,100,0,0,35
64,5,0,90,20,20,0.04,0.05,20,True,30,4,50,100,0,0,39
65,5,0,100,20,20,0.04,0.05,20,True,30,4,50,100,0,0,40
66,6,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0,150,100
67,6,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0,169,18
68,6,0,20,20,20,0.04,0.05,20,True,30,4,100,150,0,70,2
69,6,0,30,20,20,0.04,0.05,20,True,30,4,100,150,0,14,2
70,6,0,40,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
71,6,0,50,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
72,6,0,60,20,20,0.04,0.05,20,True,30,4,100,150,0,0,5
73,6,0,70,20,20,0.04,0.05,20,True,30,4,100,150,0,0,8
74,6,0,80,20,20,0.04,0.05,20,True,30,4,100,150,0,0,10
75,6,0,90,20,20,0.04,0.05,20,True,30,4,100,150,0,0,14
76,6,0,100,20,20,0.04,0.05,20,True,30,4,100,150,0,0,15
