,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escapeRange,Wolves,Sheep
0,0,0,0,20,20,100,50,0.04,0.05,20,True,30,4,0.5,50,100
1,0,0,10,20,20,100,50,0.04,0.05,20,True,30,4,0.5,51,45
2,0,0,20,20,20,100,50,0.04,0.05,20,True,30,4,0.5,43,10
3,0,0,30,20,20,100,50,0.04,0.05,20,True,30,4,0.5,23,2
4,0,0,40,20,20,100,50,0.04,0.05,20,True,30,4,0.5,8,2
5,0,0,50,20,20,100,50,0.04,0.05,20,True,30,4,0.5,3,6
6,0,0,60,20,20,100,50,0.04,0.05,20,True,30,4,0.5,1,7
7,0,0,70,20,20,100,50,0.04,0.05,20,True,30,4,0.5,1,8
8,0,0,80,20,20,100,50,0.04,0.05,20,True,30,4,0.5,2,8
9,0,0,90,20,20,100,50,0.04,0.05,20,True,30,4,0.5,1,7
10,0,0,100,20,20,100,50,0.04,0.05,20,True,30,4,0.5,1,10
11,1,0,0,20,20,50,50,0.04,0.05,20,True,30,4,0.5,50,50
12,1,0,10,20,20,50,50,0.04,0.05,20,True,30,4,0.5,52,29
13,1,0,20,20,20,50,50,0.04,0.05,20,True,30,4,0.5,43,9
14,1,0,30,20,20,50,50,0.04,0.05,20,True,30,4,0.5,17,10
15,1,0,40,20,20,50,50,0.04,0.05,20,True,30,4,0.5,8,10
16,1,0,50,20,20,50,50,0.04,0.05,20,True,30,4,0.5,4,13
17,1,0,60,20,20,50,50,0.04,0.05,20,True,30,4,0.5,3,14
18,1,0,70,20,20,50,50,0.04,0.05,20,True,30,4,0.5,1,18
19,1,0,80,20,20,50,50,0.04,0.05,20,True,30,4,0.5,0,21
20,1,0,90,20,20,50,50,0.04,0.05,20,True,30,4,0.5,0,24
21,1,0,100,20,20,50,50,0.04,0.05,20,True,30,4,0.5,0,27
22,2,0,0,20,20,50,100,0.04,0.05,20,True,30,4,0.5,100,50
23,2,0,10,20,20,50,100,0.04,0.05,20,True,30,4,0.5,108,13
24,2,0,20,20,20,50,100,0.04,0.05,20,True,30,4,0.5,70,5
25,2,0,30,20,20,50,100,0.04,0.05,20,True,30,4,0.5,23,6
26,2,0,40,20,20,50,100,0.04,0.05,20,True,30,4,0.5,2,8
27,2,0,50,20,20,50,100,0.04,0.05,20,True,30,4,0.5,2,15
