,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
77,7,0,0,20,20,0.04,0.05,20,True,30,4,100,150,0.25,150,100
78,7,0,10,20,20,0.04,0.05,20,True,30,4,100,150,0.25,175,16
79,7,0,20,20,20,0.04,0.05,20,True,30,4,100,150,0.25,87,0
80,7,0,30,20,20,0.04,0.05,20,True,30,4,100,150,0.25,28,0
81,7,0,40,20,20,0.04,0.05,20,True,30,4,100,150,0.25,7,0
82,7,0,50,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
83,7,0,60,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
84,7,0,70,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
85,7,0,80,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
86,7,0,90,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
87,7,0,100,20,20,0.04,0.05,20,True,30,4,100,150,0.25,0,0
88,8,1,0,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,50
89,8,1,10,20,20,0.04,0.05,20,True,30,4,50,50,0.25,50,27
90,8,1,20,20,20,0.04,0.05,20,True,30,4,50,50,0.25,30,16
91,8,1,30,20,20,0.04,0.05,20,True,30,4,50,50,0.25,5,15
92,8,1,40,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,23
93,8,1,50,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,21
94,8,1,60,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,33
95,8,1,70,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,26
96,8,1,80,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,32
97,8,1,90,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,36
98,8,1,100,20,20,0.04,0.05,20,True,30,4,50,50,0.25,0,34
99,9,0,0,20,20,0.04,0.05,20,True,30,4,150,150,0.25,150,150
100,9,0,10,20,20,0.04,0.05,20,True,30,4,150,150,0.25,160,25
101,9,0,20,20,20,0.04,0.05,20,True,30,4,150,150,0.25,78,3
102,9,0,30,20,20,0.04,0.05,20,True,30,4,150,150,0.25,24,0
103,9,0,40,20,20,0.04,0.05,20,True,30,4,150,150,0.25,3,0
104,9,0,50,20,20,0.04,0.05,20,True,30,4,150,150,0.25,1,0
