,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,escape_range,escaped,total_attacks,Wolves,Sheep,Escaped
61,1,0,0,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,100,50,0
62,1,0,5,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,110,34,49
63,1,0,10,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,83,21,83
64,1,0,15,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,54,15,97
65,1,0,20,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,39,10,108
66,1,0,25,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,22,7,114
67,1,0,30,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,6,6,115
68,1,0,35,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,1,6,116
69,1,0,40,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,8,116
70,1,0,45,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,10,116
71,1,0,50,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,11,116
72,1,0,55,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,12,116
73,1,0,60,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,11,116
74,1,0,65,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,15,116
75,1,0,70,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,18,116
76,1,0,75,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,15,116
77,1,0,80,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,19,116
78,1,0,85,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,20,116
79,1,0,90,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,21,116
80,1,0,95,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,20,116
81,1,0,100,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,25,116
82,1,0,105,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,24,116
83,1,0,110,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,27,116
84,1,0,115,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,24,116
85,1,0,120,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,26,116
86,1,0,125,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,23,116
87,1,0,130,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,26,116
88,1,0,135,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,30,116
89,1,0,140,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,25,116
90,1,0,145,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,25,116
91,1,0,150,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,25,116
92,1,0,155,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,27,116
93,1,0,160,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,30,116
94,1,0,165,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,32,116
95,1,0,170,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,35,116
96,1,0,175,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,34,116
97,1,0,180,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,33,116
98,1,0,185,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,36,116
99,1,0,190,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,38,116
100,1,0,195,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,45,116
101,1,0,200,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,46,116
102,1,0,205,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,43,116
103,1,0,210,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,40,116
104,1,0,215,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,42,116
105,1,0,220,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,42,116
106,1,0,225,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,38,116
107,1,0,230,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,35,116
108,1,0,235,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,41,116
109,1,0,240,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,45,116
110,1,0,245,20,20,50,100,0.04,0.05,20,True,30,4,1,0,0,0,43,116
